Edge	Score_init	Score_changed
acald_c (pp) ACALD	1.0	4.0
acald_c (pp) accoa_c	1.0	4.0
acald_c (pp) h_c	1.0	4.0
acald_c (pp) nadh_c	1.0	4.0
coa_c (pp) ACALD	1.0	4.0
coa_c (pp) accoa_c	1.0	4.0
coa_c (pp) h_c	1.0	4.0
coa_c (pp) nadh_c	1.0	4.0
nad_c (pp) ACALD	1.0	4.0
nad_c (pp) accoa_c	1.0	4.0
nad_c (pp) h_c	1.0	4.0
nad_c (pp) nadh_c	1.0	4.0
ACALD (pp) ACALD	1.0	4.0
ACALD (pp) accoa_c	1.0	4.0
ACALD (pp) h_c	1.0	4.0
ACALD (pp) nadh_c	1.0	4.0
acald_e (pp) ACALDt	1.0	0.5
acald_e (pp) acald_c	1.0	0.5
ACALDt (pp) ACALDt	1.0	0.5
ACALDt (pp) acald_c	1.0	0.5
ac_c (pp) ACKr	1.0	4.0
ac_c (pp) actp_c	1.0	4.0
ac_c (pp) adp_c	1.0	4.0
atp_c (pp) ACKr	1.0	4.0
atp_c (pp) actp_c	1.0	4.0
atp_c (pp) adp_c	1.0	4.0
ACKr (pp) ACKr	1.0	4.0
ACKr (pp) actp_c	1.0	4.0
ACKr (pp) adp_c	1.0	4.0
cit_c (pp) ACONTa	1.0	1.0
cit_c (pp) h2o_c	1.0	1.0
cit_c (pp) acon_C_c	1.0	1.0
ACONTa (pp) ACONTa	1.0	1.0
ACONTa (pp) h2o_c	1.0	1.0
ACONTa (pp) acon_C_c	1.0	1.0
h2o_c (pp) ACONTb	1.0	0.5
h2o_c (pp) icit_c	1.0	0.5
acon_C_c (pp) ACONTb	1.0	0.5
acon_C_c (pp) icit_c	1.0	0.5
ACONTb (pp) ACONTb	1.0	0.5
ACONTb (pp) icit_c	1.0	0.5
h_e (pp) ACt2r	1.0	4.0
h_e (pp) ac_c	1.0	4.0
h_e (pp) h_c	1.0	4.0
ac_e (pp) ACt2r	1.0	4.0
ac_e (pp) ac_c	1.0	4.0
ac_e (pp) h_c	1.0	4.0
ACt2r (pp) ACt2r	1.0	4.0
ACt2r (pp) ac_c	1.0	4.0
ACt2r (pp) h_c	1.0	4.0
atp_c (pp) ADK1	1.0	4.0
atp_c (pp) adp_c	1.0	4.0
amp_c (pp) ADK1	1.0	4.0
amp_c (pp) adp_c	1.0	4.0
ADK1 (pp) ADK1	1.0	4.0
ADK1 (pp) adp_c	1.0	4.0
akg_c (pp) AKGDH	1.0	4.0
akg_c (pp) nadh_c	1.0	4.0
akg_c (pp) succoa_c	1.0	4.0
akg_c (pp) co2_c	1.0	4.0
coa_c (pp) AKGDH	1.0	4.0
coa_c (pp) nadh_c	1.0	4.0
coa_c (pp) succoa_c	1.0	4.0
coa_c (pp) co2_c	1.0	4.0
nad_c (pp) AKGDH	1.0	4.0
nad_c (pp) nadh_c	1.0	4.0
nad_c (pp) succoa_c	1.0	4.0
nad_c (pp) co2_c	1.0	4.0
AKGDH (pp) AKGDH	1.0	4.0
AKGDH (pp) nadh_c	1.0	4.0
AKGDH (pp) succoa_c	1.0	4.0
AKGDH (pp) co2_c	1.0	4.0
h_e (pp) AKGt2r	1.0	4.0
h_e (pp) akg_c	1.0	4.0
h_e (pp) h_c	1.0	4.0
akg_e (pp) AKGt2r	1.0	4.0
akg_e (pp) akg_c	1.0	4.0
akg_e (pp) h_c	1.0	4.0
AKGt2r (pp) AKGt2r	1.0	4.0
AKGt2r (pp) akg_c	1.0	4.0
AKGt2r (pp) h_c	1.0	4.0
etoh_c (pp) ALCD2x	1.0	4.0
etoh_c (pp) acald_c	1.0	4.0
etoh_c (pp) nadh_c	1.0	4.0
etoh_c (pp) h_c	1.0	4.0
nad_c (pp) ALCD2x	1.0	4.0
nad_c (pp) acald_c	1.0	4.0
nad_c (pp) nadh_c	1.0	4.0
nad_c (pp) h_c	1.0	4.0
ALCD2x (pp) ALCD2x	1.0	4.0
ALCD2x (pp) acald_c	1.0	4.0
ALCD2x (pp) nadh_c	1.0	4.0
ALCD2x (pp) h_c	1.0	4.0
h2o_c (pp) ATPM	1.0	4.0
h2o_c (pp) pi_c	1.0	4.0
h2o_c (pp) h_c	1.0	4.0
h2o_c (pp) adp_c	1.0	4.0
atp_c (pp) ATPM	1.0	4.0
atp_c (pp) pi_c	1.0	4.0
atp_c (pp) h_c	1.0	4.0
atp_c (pp) adp_c	1.0	4.0
ATPM (pp) ATPM	1.0	4.0
ATPM (pp) pi_c	1.0	4.0
ATPM (pp) h_c	1.0	4.0
ATPM (pp) adp_c	1.0	4.0
h_e (pp) ATPS4r	1.0	2.0
h_e (pp) h2o_c	1.0	2.0
h_e (pp) atp_c	1.0	2.0
h_e (pp) h_c	1.0	2.0
adp_c (pp) ATPS4r	1.0	2.0
adp_c (pp) h2o_c	1.0	2.0
adp_c (pp) atp_c	1.0	2.0
adp_c (pp) h_c	1.0	2.0
pi_c (pp) ATPS4r	1.0	2.0
pi_c (pp) h2o_c	1.0	2.0
pi_c (pp) atp_c	1.0	2.0
pi_c (pp) h_c	1.0	2.0
ATPS4r (pp) ATPS4r	1.0	2.0
ATPS4r (pp) h2o_c	1.0	2.0
ATPS4r (pp) atp_c	1.0	2.0
ATPS4r (pp) h_c	1.0	2.0
h2o_c (pp) BIOMASS_Ecoli_core_w_GAM	1.0	4.0
h2o_c (pp) h_c	1.0	4.0
h2o_c (pp) coa_c	1.0	4.0
h2o_c (pp) adp_c	1.0	4.0
h2o_c (pp) nadh_c	1.0	4.0
h2o_c (pp) akg_c	1.0	4.0
h2o_c (pp) nadp_c	1.0	4.0
h2o_c (pp) pi_c	1.0	4.0
glu__L_c (pp) BIOMASS_Ecoli_core_w_GAM	1.0	4.0
glu__L_c (pp) h_c	1.0	4.0
glu__L_c (pp) coa_c	1.0	4.0
glu__L_c (pp) adp_c	1.0	4.0
glu__L_c (pp) nadh_c	1.0	4.0
glu__L_c (pp) akg_c	1.0	4.0
glu__L_c (pp) nadp_c	1.0	4.0
glu__L_c (pp) pi_c	1.0	4.0
g3p_c (pp) BIOMASS_Ecoli_core_w_GAM	1.0	4.0
g3p_c (pp) h_c	1.0	4.0
g3p_c (pp) coa_c	1.0	4.0
g3p_c (pp) adp_c	1.0	4.0
g3p_c (pp) nadh_c	1.0	4.0
g3p_c (pp) akg_c	1.0	4.0
g3p_c (pp) nadp_c	1.0	4.0
g3p_c (pp) pi_c	1.0	4.0
e4p_c (pp) BIOMASS_Ecoli_core_w_GAM	1.0	4.0
e4p_c (pp) h_c	1.0	4.0
e4p_c (pp) coa_c	1.0	4.0
e4p_c (pp) adp_c	1.0	4.0
e4p_c (pp) nadh_c	1.0	4.0
e4p_c (pp) akg_c	1.0	4.0
e4p_c (pp) nadp_c	1.0	4.0
e4p_c (pp) pi_c	1.0	4.0
r5p_c (pp) BIOMASS_Ecoli_core_w_GAM	1.0	4.0
r5p_c (pp) h_c	1.0	4.0
r5p_c (pp) coa_c	1.0	4.0
r5p_c (pp) adp_c	1.0	4.0
r5p_c (pp) nadh_c	1.0	4.0
r5p_c (pp) akg_c	1.0	4.0
r5p_c (pp) nadp_c	1.0	4.0
r5p_c (pp) pi_c	1.0	4.0
atp_c (pp) BIOMASS_Ecoli_core_w_GAM	1.0	4.0
atp_c (pp) h_c	1.0	4.0
atp_c (pp) coa_c	1.0	4.0
atp_c (pp) adp_c	1.0	4.0
atp_c (pp) nadh_c	1.0	4.0
atp_c (pp) akg_c	1.0	4.0
atp_c (pp) nadp_c	1.0	4.0
atp_c (pp) pi_c	1.0	4.0
f6p_c (pp) BIOMASS_Ecoli_core_w_GAM	1.0	4.0
f6p_c (pp) h_c	1.0	4.0
f6p_c (pp) coa_c	1.0	4.0
f6p_c (pp) adp_c	1.0	4.0
f6p_c (pp) nadh_c	1.0	4.0
f6p_c (pp) akg_c	1.0	4.0
f6p_c (pp) nadp_c	1.0	4.0
f6p_c (pp) pi_c	1.0	4.0
pyr_c (pp) BIOMASS_Ecoli_core_w_GAM	1.0	4.0
pyr_c (pp) h_c	1.0	4.0
pyr_c (pp) coa_c	1.0	4.0
pyr_c (pp) adp_c	1.0	4.0
pyr_c (pp) nadh_c	1.0	4.0
pyr_c (pp) akg_c	1.0	4.0
pyr_c (pp) nadp_c	1.0	4.0
pyr_c (pp) pi_c	1.0	4.0
nad_c (pp) BIOMASS_Ecoli_core_w_GAM	1.0	4.0
nad_c (pp) h_c	1.0	4.0
nad_c (pp) coa_c	1.0	4.0
nad_c (pp) adp_c	1.0	4.0
nad_c (pp) nadh_c	1.0	4.0
nad_c (pp) akg_c	1.0	4.0
nad_c (pp) nadp_c	1.0	4.0
nad_c (pp) pi_c	1.0	4.0
g6p_c (pp) BIOMASS_Ecoli_core_w_GAM	1.0	4.0
g6p_c (pp) h_c	1.0	4.0
g6p_c (pp) coa_c	1.0	4.0
g6p_c (pp) adp_c	1.0	4.0
g6p_c (pp) nadh_c	1.0	4.0
g6p_c (pp) akg_c	1.0	4.0
g6p_c (pp) nadp_c	1.0	4.0
g6p_c (pp) pi_c	1.0	4.0
accoa_c (pp) BIOMASS_Ecoli_core_w_GAM	1.0	4.0
accoa_c (pp) h_c	1.0	4.0
accoa_c (pp) coa_c	1.0	4.0
accoa_c (pp) adp_c	1.0	4.0
accoa_c (pp) nadh_c	1.0	4.0
accoa_c (pp) akg_c	1.0	4.0
accoa_c (pp) nadp_c	1.0	4.0
accoa_c (pp) pi_c	1.0	4.0
oaa_c (pp) BIOMASS_Ecoli_core_w_GAM	1.0	4.0
oaa_c (pp) h_c	1.0	4.0
oaa_c (pp) coa_c	1.0	4.0
oaa_c (pp) adp_c	1.0	4.0
oaa_c (pp) nadh_c	1.0	4.0
oaa_c (pp) akg_c	1.0	4.0
oaa_c (pp) nadp_c	1.0	4.0
oaa_c (pp) pi_c	1.0	4.0
3pg_c (pp) BIOMASS_Ecoli_core_w_GAM	1.0	4.0
3pg_c (pp) h_c	1.0	4.0
3pg_c (pp) coa_c	1.0	4.0
3pg_c (pp) adp_c	1.0	4.0
3pg_c (pp) nadh_c	1.0	4.0
3pg_c (pp) akg_c	1.0	4.0
3pg_c (pp) nadp_c	1.0	4.0
3pg_c (pp) pi_c	1.0	4.0
pep_c (pp) BIOMASS_Ecoli_core_w_GAM	1.0	4.0
pep_c (pp) h_c	1.0	4.0
pep_c (pp) coa_c	1.0	4.0
pep_c (pp) adp_c	1.0	4.0
pep_c (pp) nadh_c	1.0	4.0
pep_c (pp) akg_c	1.0	4.0
pep_c (pp) nadp_c	1.0	4.0
pep_c (pp) pi_c	1.0	4.0
gln__L_c (pp) BIOMASS_Ecoli_core_w_GAM	1.0	4.0
gln__L_c (pp) h_c	1.0	4.0
gln__L_c (pp) coa_c	1.0	4.0
gln__L_c (pp) adp_c	1.0	4.0
gln__L_c (pp) nadh_c	1.0	4.0
gln__L_c (pp) akg_c	1.0	4.0
gln__L_c (pp) nadp_c	1.0	4.0
gln__L_c (pp) pi_c	1.0	4.0
nadph_c (pp) BIOMASS_Ecoli_core_w_GAM	1.0	4.0
nadph_c (pp) h_c	1.0	4.0
nadph_c (pp) coa_c	1.0	4.0
nadph_c (pp) adp_c	1.0	4.0
nadph_c (pp) nadh_c	1.0	4.0
nadph_c (pp) akg_c	1.0	4.0
nadph_c (pp) nadp_c	1.0	4.0
nadph_c (pp) pi_c	1.0	4.0
BIOMASS_Ecoli_core_w_GAM (pp) BIOMASS_Ecoli_core_w_GAM	1.0	4.0
BIOMASS_Ecoli_core_w_GAM (pp) h_c	1.0	4.0
BIOMASS_Ecoli_core_w_GAM (pp) coa_c	1.0	4.0
BIOMASS_Ecoli_core_w_GAM (pp) adp_c	1.0	4.0
BIOMASS_Ecoli_core_w_GAM (pp) nadh_c	1.0	4.0
BIOMASS_Ecoli_core_w_GAM (pp) akg_c	1.0	4.0
BIOMASS_Ecoli_core_w_GAM (pp) nadp_c	1.0	4.0
BIOMASS_Ecoli_core_w_GAM (pp) pi_c	1.0	4.0
co2_e (pp) CO2t	1.0	0.5
co2_e (pp) co2_c	1.0	0.5
CO2t (pp) CO2t	1.0	0.5
CO2t (pp) co2_c	1.0	0.5
h2o_c (pp) CS	1.0	4.0
h2o_c (pp) cit_c	1.0	4.0
h2o_c (pp) coa_c	1.0	4.0
h2o_c (pp) h_c	1.0	4.0
oaa_c (pp) CS	1.0	4.0
oaa_c (pp) cit_c	1.0	4.0
oaa_c (pp) coa_c	1.0	4.0
oaa_c (pp) h_c	1.0	4.0
accoa_c (pp) CS	1.0	4.0
accoa_c (pp) cit_c	1.0	4.0
accoa_c (pp) coa_c	1.0	4.0
accoa_c (pp) h_c	1.0	4.0
CS (pp) CS	1.0	4.0
CS (pp) cit_c	1.0	4.0
CS (pp) coa_c	1.0	4.0
CS (pp) h_c	1.0	4.0
o2_c (pp) CYTBD	1.0	0.25
o2_c (pp) h2o_c	1.0	0.25
o2_c (pp) h_e	1.0	0.25
o2_c (pp) q8_c	1.0	0.25
q8h2_c (pp) CYTBD	1.0	0.25
q8h2_c (pp) h2o_c	1.0	0.25
q8h2_c (pp) h_e	1.0	0.25
q8h2_c (pp) q8_c	1.0	0.25
h_c (pp) CYTBD	1.0	0.25
h_c (pp) h2o_c	1.0	0.25
h_c (pp) h_e	1.0	0.25
